Chi: 100.000000	tcc [code units]: 8.904371e-02	Mcl [Solar mass]: 1.445491e+00	mu: 0.672442	 [code time] = 3.085678e+13 s

t/tcc		t/tdrag		M(rho>rhocl/3)/Mcl	deltav/vwind
1.078020e+00	1.078020e-01	9.588894e-01		1.987449e-01
1.089259e+00	1.089259e-01	9.618660e-01		2.880689e-01
1.100544e+00	1.100544e-01	9.642184e-01		2.934304e-01
1.111797e+00	1.111797e-01	9.659127e-01		2.979837e-01
1.122927e+00	1.122927e-01	9.414320e-01		3.014651e-01
1.134218e+00	1.134218e-01	9.449676e-01		2.930073e-01
1.145439e+00	1.145439e-01	9.475497e-01		2.375818e-01
1.156733e+00	1.156733e-01	9.487557e-01		2.374681e-01
1.167855e+00	1.167855e-01	9.777997e-01		2.380325e-01
1.179093e+00	1.179093e-01	9.815502e-01		2.395907e-01
1.190358e+00	1.190358e-01	9.840914e-01		2.383894e-01
1.201568e+00	1.201568e-01	1.041473e+00		2.250278e-01
1.212775e+00	1.212775e-01	1.042803e+00		2.104668e-01
1.224023e+00	1.224023e-01	1.042969e+00		1.953653e-01
1.235229e+00	1.235229e-01	9.863427e-01		1.825500e-01
1.246552e+00	1.246552e-01	9.871497e-01		1.751870e-01
1.257710e+00	1.257710e-01	9.870123e-01		2.584779e-01
1.268967e+00	1.268967e-01	9.856920e-01		2.627794e-01
1.280165e+00	1.280165e-01	1.015907e+00		2.676267e-01
1.291437e+00	1.291437e-01	9.938940e-01		2.588866e-01
1.302698e+00	1.302698e-01	9.996353e-01		2.450809e-01
1.313876e+00	1.313876e-01	1.004396e+00		2.195150e-01
1.325138e+00	1.325138e-01	1.008136e+00		2.194130e-01
1.336410e+00	1.336410e-01	1.010446e+00		2.064832e-01
1.347614e+00	1.347614e-01	1.067733e+00		1.928644e-01
1.358782e+00	1.358782e-01	1.068068e+00		1.782675e-01
1.370058e+00	1.370058e-01	1.011993e+00		1.638647e-01
1.381280e+00	1.381280e-01	1.042259e+00		1.535604e-01
1.392570e+00	1.392570e-01	1.046897e+00		2.358782e-01
1.403691e+00	1.403691e-01	1.050413e+00		2.369008e-01
1.415015e+00	1.415015e-01	1.053087e+00		2.358265e-01
1.426235e+00	1.426235e-01	1.029293e+00		2.212584e-01
1.437399e+00	1.437399e-01	1.034308e+00		2.061788e-01
1.448667e+00	1.448667e-01	1.038312e+00		1.907660e-01
1.459850e+00	1.459850e-01	1.041258e+00		1.753482e-01
1.471094e+00	1.471094e-01	1.098461e+00		1.597403e-01
1.482312e+00	1.482312e-01	1.072365e+00		1.451353e-01
1.493633e+00	1.493633e-01	1.079589e+00		1.336257e-01
1.504796e+00	1.504796e-01	1.085219e+00		1.265087e-01
1.516029e+00	1.516029e-01	1.089532e+00		2.131672e-01
1.527233e+00	1.527233e-01	1.092563e+00		2.004432e-01
1.538556e+00	1.538556e-01	1.094530e+00		1.863405e-01
1.549716e+00	1.549716e-01	1.072112e+00		1.711885e-01
1.560975e+00	1.560975e-01	1.076568e+00		1.550210e-01
1.572258e+00	1.572258e-01	1.079387e+00		1.387974e-01
1.583487e+00	1.583487e-01	1.054675e+00		1.239814e-01
1.594684e+00	1.594684e-01	1.119084e+00		1.134160e-01
1.605929e+00	1.605929e-01	1.126154e+00		1.432857e-01
1.617138e+00	1.617138e-01	1.131571e+00		1.337330e-01
1.628313e+00	1.628313e-01	1.135354e+00		1.641369e-01
1.639582e+00	1.639582e-01	1.137737e+00		1.511390e-01
1.650775e+00	1.650775e-01	1.113876e+00		1.368595e-01
1.662041e+00	1.662041e-01	1.118811e+00		1.219770e-01
1.673310e+00	1.673310e-01	1.121719e+00		1.075553e-01
1.684510e+00	1.684510e-01	1.101505e+00		9.775640e-02
1.695773e+00	1.695773e-01	1.165890e+00		9.278005e-02
1.706942e+00	1.706942e-01	1.172821e+00		1.073765e-01
1.718195e+00	1.718195e-01	1.178028e+00		1.011155e-01
1.729418e+00	1.729418e-01	1.181533e+00		1.296404e-01
1.740625e+00	1.740625e-01	1.183548e+00		1.190709e-01
1.751858e+00	1.751858e-01	1.161192e+00		1.072749e-01
1.763157e+00	1.763157e-01	1.165201e+00		9.496422e-02
1.774352e+00	1.774352e-01	1.143977e+00		8.789261e-02
1.785576e+00	1.785576e-01	1.209101e+00		1.373796e-01
1.796855e+00	1.796855e-01	1.216699e+00		9.644338e-02
1.808040e+00	1.808040e-01	1.222275e+00		8.492932e-02
1.819307e+00	1.819307e-01	1.225990e+00		1.137676e-01
1.830551e+00	1.830551e-01	1.227973e+00		1.035673e-01
1.841789e+00	1.841789e-01	1.205008e+00		9.189106e-02
1.852963e+00	1.852963e-01	1.154248e+00		8.324271e-02
1.864209e+00	1.864209e-01	1.244595e+00		1.231855e-01
1.875460e+00	1.875460e-01	1.254239e+00		1.175116e-01
1.886647e+00	1.886647e-01	1.261481e+00		6.513759e-02
1.897889e+00	1.897889e-01	1.266608e+00		6.114752e-02
1.909171e+00	1.909171e-01	1.269621e+00		9.792324e-02
1.920338e+00	1.920338e-01	1.243134e+00		8.846670e-02
1.931592e+00	1.931592e-01	1.193114e+00		8.010424e-02
1.942772e+00	1.942772e-01	1.255260e+00		1.210140e-01
1.954011e+00	1.954011e-01	1.290170e+00		1.156916e-01
1.965246e+00	1.965246e-01	1.298559e+00		7.867131e-02
1.976507e+00	1.976507e-01	1.304555e+00		5.951410e-02
1.987723e+00	1.987723e-01	1.308259e+00		1.011967e-01
1.998923e+00	1.998923e-01	1.309888e+00		9.641744e-02
2.010207e+00	2.010207e-01	1.341915e+00		8.964400e-02
2.021392e+00	2.021392e-01	1.292718e+00		1.380182e-01
2.032698e+00	2.032698e-01	1.297450e+00		1.214045e-01
2.043878e+00	2.043878e-01	1.333463e+00		8.480982e-02
2.055150e+00	2.055150e-01	1.339958e+00		2.193984e-02
2.066356e+00	2.066356e-01	1.343997e+00		1.189940e-01
2.077613e+00	2.077613e-01	1.401892e+00		1.115767e-01
2.088841e+00	2.088841e-01	1.377711e+00		1.541601e-01
2.100065e+00	2.100065e-01	1.327471e+00		1.435147e-01
2.111299e+00	2.111299e-01	1.332986e+00		1.140447e-01
2.122482e+00	2.122482e-01	1.366594e+00		8.062085e-02
2.133738e+00	2.133738e-01	1.373417e+00		1.643295e-02
2.145004e+00	2.145004e-01	1.433480e+00		1.197999e-01
2.156210e+00	2.156210e-01	1.436468e+00		1.096233e-01
2.167456e+00	2.167456e-01	1.412481e+00		1.544207e-01
2.178638e+00	2.178638e-01	1.417457e+00		1.333303e-01
2.189922e+00	2.189922e-01	1.366258e+00		1.036365e-01
2.201144e+00	2.201144e-01	1.398628e+00		6.649967e-02
2.212335e+00	2.212335e-01	1.405372e+00		3.421950e-03
2.223613e+00	2.223613e-01	1.466228e+00		1.140300e-01
2.234821e+00	2.234821e-01	1.469090e+00		1.024537e-01
2.246069e+00	2.246069e-01	1.445806e+00		8.870499e-02
2.257311e+00	2.257311e-01	1.450240e+00		1.214194e-01
2.268479e+00	2.268479e-01	1.397489e+00		9.152010e-02
2.279766e+00	2.279766e-01	1.429579e+00		4.551391e-02
2.290926e+00	2.290926e-01	1.491635e+00		2.552204e-02
2.302164e+00	2.302164e-01	1.496446e+00		1.031079e-01
2.313414e+00	2.313414e-01	1.498311e+00		8.899053e-02
2.324692e+00	2.324692e-01	1.475408e+00		7.294989e-02
2.335903e+00	2.335903e-01	1.477926e+00		1.082435e-01
2.347147e+00	2.347147e-01	1.422585e+00		7.702888e-02
2.358336e+00	2.358336e-01	1.421529e+00		2.022906e-02
2.369579e+00	2.369579e-01	1.474430e+00		1.132280e-02
2.380807e+00	2.380807e-01	1.468068e+00		7.101349e-02
2.392043e+00	2.392043e-01	1.431905e+00		5.241910e-02
2.403299e+00	2.403299e-01	1.426399e+00		3.742014e-02
2.414510e+00	2.414510e-01	1.415600e+00		9.181938e-02
2.425732e+00	2.425732e-01	1.346507e+00		5.754644e-02
2.436988e+00	2.436988e-01	1.481342e+00		-8.126961e-03
2.448215e+00	2.448215e-01	1.542987e+00		6.505278e-02
2.459438e+00	2.459438e-01	1.549670e+00		4.997903e-02
2.470673e+00	2.470673e-01	1.530914e+00		3.393221e-02
2.481848e+00	2.481848e-01	1.539839e+00		2.246647e-02
2.493149e+00	2.493149e-01	1.544738e+00		7.347272e-02
2.504321e+00	2.504321e-01	1.494419e+00		2.150722e-02
2.515545e+00	2.515545e-01	1.498561e+00		5.176843e-03
2.526830e+00	2.526830e-01	1.499927e+00		5.483613e-02
2.538002e+00	2.538002e-01	1.471060e+00		3.967076e-02
2.549248e+00	2.549248e-01	1.474438e+00		2.420876e-02
2.560456e+00	2.560456e-01	1.473660e+00		1.421773e-02
2.571689e+00	2.571689e-01	1.413155e+00		5.144245e-02
2.582947e+00	2.582947e-01	1.410399e+00		-1.537955e-02
2.594144e+00	2.594144e-01	1.404885e+00		5.658808e-02
2.605379e+00	2.605379e-01	1.396979e+00		4.221690e-02
2.616663e+00	2.616663e-01	1.363207e+00		2.542368e-02
2.627911e+00	2.627911e-01	1.356756e+00		1.008367e-02
2.639142e+00	2.639142e-01	1.346053e+00		6.577086e-02
2.650378e+00	2.650378e-01	1.278221e+00		4.366803e-03
2.661543e+00	2.661543e-01	1.408379e+00		-5.123738e-03
2.672750e+00	2.672750e-01	1.410808e+00		4.681360e-02
2.684021e+00	2.684021e-01	1.385036e+00		3.213952e-02
2.695286e+00	2.695286e-01	1.390629e+00		1.482815e-02
2.706477e+00	2.706477e-01	1.659444e+00		-2.552894e-04
2.717729e+00	2.717729e-01	1.610628e+00		2.748292e-02
2.728973e+00	2.728973e-01	1.620082e+00		-3.713966e-02
2.740132e+00	2.740132e-01	1.626619e+00		6.283263e-02
2.751379e+00	2.751379e-01	1.630520e+00		5.383215e-02
2.762611e+00	2.762611e-01	1.610185e+00		4.367280e-02
2.773904e+00	2.773904e-01	1.615065e+00		3.243777e-02
2.785039e+00	2.785039e-01	1.615293e+00		2.259666e-02
2.796378e+00	2.796378e-01	1.611617e+00		-6.898131e-03
2.807609e+00	2.807609e-01	1.552145e+00		-1.049985e-02
2.818757e+00	2.818757e-01	1.551038e+00		1.560215e-01
2.829959e+00	2.829959e-01	1.523760e+00		1.249757e-01
2.841240e+00	2.841240e-01	1.524769e+00		9.518426e-02
2.852512e+00	2.852512e-01	1.522116e+00		6.562337e-02
2.863683e+00	2.863683e-01	1.516190e+00		1.389774e-02
2.874894e+00	2.874894e-01	1.507375e+00		7.298669e-03
2.886171e+00	2.886171e-01	1.495671e+00		-1.087583e-02
2.897423e+00	2.897423e-01	1.625602e+00		2.575410e-01
2.908559e+00	2.908559e-01	1.600937e+00		2.519913e-01
2.919861e+00	2.919861e-01	1.601722e+00		2.279814e-01
2.931096e+00	2.931096e-01	1.344686e+00		2.120627e-01
2.942270e+00	2.942270e-01	1.349257e+00		2.041083e-01
2.953476e+00	2.953476e-01	1.352583e+00		2.003516e-01
2.964810e+00	2.964810e-01	1.355104e+00		1.968882e-01
2.975934e+00	2.975934e-01	1.356884e+00		1.940933e-01
2.987266e+00	2.987266e-01	1.358244e+00		1.915772e-01
2.998395e+00	2.998395e-01	1.359120e+00		1.888477e-01
3.009737e+00	3.009737e-01	1.359564e+00		1.857675e-01
3.020885e+00	3.020885e-01	1.359275e+00		2.029865e-01
3.032124e+00	3.032124e-01	1.358128e+00		1.968315e-01
3.043333e+00	3.043333e-01	1.356343e+00		1.904556e-01
3.054664e+00	3.054664e-01	1.354071e+00		1.838219e-01
3.065860e+00	3.065860e-01	1.351254e+00		1.771216e-01
3.077067e+00	3.077067e-01	1.347808e+00		1.703808e-01
3.088298e+00	3.088298e-01	1.343729e+00		1.635665e-01
3.099564e+00	3.099564e-01	1.339011e+00		1.566257e-01
3.110739e+00	3.110739e-01	1.333701e+00		1.495255e-01
3.121969e+00	3.121969e-01	1.466825e+00		1.420655e-01
3.133266e+00	3.133266e-01	1.473165e+00		1.341179e-01
3.144503e+00	3.144503e-01	1.478983e+00		1.256823e-01
3.155688e+00	3.155688e-01	1.484291e+00		1.166894e-01
3.166972e+00	3.166972e-01	1.489157e+00		1.069483e-01
3.178079e+00	3.178079e-01	1.493480e+00		9.665381e-02
3.189302e+00	3.189302e-01	1.497402e+00		8.551867e-02
3.200651e+00	3.200651e-01	1.500964e+00		7.353347e-02
3.211843e+00	3.211843e-01	1.504194e+00		6.100050e-02
3.223129e+00	3.223129e-01	1.507151e+00		4.772739e-02
3.234334e+00	3.234334e-01	1.509985e+00		3.429158e-02
